city_code
rechicourt le chateau
rurange les thionville
avant les ramerupt
brienne le chateau
colombe la fosse
crespy le neuf
dommartin le coq
fays la chapelle
maisons les chaource
maisons les soulaines
mesnil la comtesse
perigny la rose
torcy le petit
viapres le petit
villy le marechal
colroy la roche
dambach la ville
broussy le petit
soultz les bains
baslieux les fismes
chigny les roses
bussy le repos
cernay les reims
coulommes la montagne
cheppes la prairie
fleury la riviere
dampierre le chateau
givry les loisy
burnhaupt le haut
heiltz l eveque
jouy les reims
hagenthal le haut
mourmelon le grand
mourmelon le petit
nogent l abbesse
moncetz l abbaye
magstatt le bas
reims la brulee
sermaize les bains
rumersheim le haut
steinbrunn le haut
suizy le franc
vitry le francois
vavray le grand
vavray le petit
autigny le grand
vitry la ville
bourbonne les bains
chaumont la ville
bourbonne les bains
buxieres les clefmont
heuilley le grand
coiffy le bas
coiffy le haut
colmier le haut
doulevant le petit
perrogney les fontaines
thonnance les joinville
thonnance les moulins
troisfontaines la ville
poinson les fayl
rivieres le bois
thol les millieres
thonnance les moulins
thonnance les moulins
troisfontaines la ville
verseilles le bas
villegusien le lac
abbeville les conflans
bezange la grande
bienville la petite
brehain la ville
cons la grandville
dommartin la chaussee
bagneux la fosse
bercenay le hayer
jarville la malgrange
charmes la cote
aulnay l aitre
fay les marcilly
bergeres les vertus
doncourt les longuyon
mercy le haut
essey les nancy
lignol le chateau
mont le vignoble
marcilly le hayer
marigny le chatel
neuviller les badonviller
norroy le sec
pars les romilly
plancy l abbaye
rechicourt la petite
mars la tour
soligny les etangs
heiltz le hutier
moncel les luneville
heiltz le maurupt
mareuil le port
villers les nancy
villiers le bois
villy le bois
yevres le petit
nesle le repons
apremont la foret
orbais l abbaye
apremont la foret
apremont la foret
erize la brulee
vienne le chateau
gondrecourt le chateau
villeneuve la lionne
gondrecourt le chateau
autigny le petit
charmes la grande
louppy le chateau
cirey les mareilles
cour l eveque
doulevant le chateau
ecot la combe
montigny les vaucouleurs
recourt le creux
saulx les champlon
saulx les champlon
senoncourt les maujouy
mandres la cote
thonne la long
thonne les pres
vaudeville le haut
vaux les palameix
vigneulles les hattonchatel
vigneulles les hattonchatel
neuilly l eveque
vigneulles les hattonchatel
vigneulles les hattonchatel
noidant le rocheux
riviere les fosses
verseilles le haut
villegusien le lac
bezange la petite
diffembach les hellimer
domnom les dieuze
laneuveville les lorquin
doncourt les conflans
heining les bouzonville
longeville les metz
kirsch les sierck
montois la montagne
morville les vic
mercy le bas
pournoy la grasse
pierre la treiche
roussy le village
volmerange les mines
voelfling les bouzonville
woelfling les sarreguemines
sanry les vigy
saulxures les nancy
sierck les bains
villers la montagne
villers le rond
villers les moivrons
villey le sec
brabant le roi
chauvency le chateau
clery le grand
domremy la canne
charny le bachot
erize la petite
fromereville les vallons
gondrecourt le chateau
koeur la grande
marolles les bailly
noe les mallets
pars les chavanges
meligny le petit
menil la horgne
rosnay l hopital
rouvres les vignes
rumilly les vaudes
nancois le grand
nant le petit
torcy le grand
villenauxe la grande
cousances les triconville
vigneulles les hattonchatel
villers le sec
alaincourt la cote
behren les forbach
chailly les ennery
kerling les sierck
moulins les metz
moulins les metz
nousseviller les bitche
pagny les goin
puttelange les thionville
remering les puttelange
vahl les faulquemont
volmerange les boulay
boissy le repos
broussy le grand
cauroy les hermonville
fessenheim le bas
neuviller la roche
mareuil le port
maurupt le montois
nesle la reposte
bitschwiller les thann
neuwiller les saverne
hagenthal le bas
vanault le chatel
villers le chateau
morschwiller le bas
witry les reims
anneville la prairie
rombach le franc
bettancourt la ferree
steinbrunn le bas
champigny les langres
doulevant le chateau
husseren les chateaux
liffol le petit
neuvelle les voisey
perrogney les fontaines
poinson les nogent
ranspach le bas
seppois le bas
soppe le bas
soultzbach les bains
vignes la cote
villegusien le lac
villegusien le lac
villiers les aprey
vitry les nogent
vroncourt la cote
audun le roman
barisey la cote
dommartin les toul
fresnois la montagne
traubach le bas
menil la tour
mercy le haut
mont l etroit
dieffenbach les woerth
saulxures les vannes
ernolsheim les saverne
apremont la foret
bar le duc
morsbronn les bains
neuviller la roche
niederbronn les bains
clery le petit
cousances les forges
dommartin la montagne
nant le grand
aspach le bas
burnhaupt le bas
sivry la perche
thonne le thil
muespach le haut
vigneulles les hattonchatel
ranspach le haut
beyren les sierck
chemery les deux
lixing les rouhling
maizieres les vic
montigny les metz
norroy le veneur
pournoy la chetive
rohrbach les bitche
rorbach les dieuze
servigny les raville
vahl les benestroff
avant les marcilly
avon la peze
balnot la grange
brienne la vieille
chessy les pres
colombe le sec
ervy le chatel
fontaine les gres
fresnoy le chateau
mailly le camp
maizieres les brienne
montigny les monts
perthes les brienne
rigny la nonneuse
vitry le croise
dombrot le sec
dommartin les remiremont
dommartin les vallois
liffol le grand
martigny les bains
martigny les gerbonvaux
mont les lamarche
pont les bonfays
thaon les vosges
valleroy le sec
viviers le gras
champ le duc
domremy la pucelle
fontenoy le chateau
frenelle la grande
oberhoffen les wissembourg
gircourt les vieville
hadigny les verrieres
monthureux le sec
nayemont les fosses
thaon les vosges
bourbach le bas
bourbach le haut
magstatt le haut
michelbach le bas
michelbach le haut
seppois le haut
traubach le haut
autigny la tour
charmois l orgueilleux
clerey la cote
frenelle la petite
provencheres les darney
saulxures les bulgneville
thaon les vosges
